data,ibov_ret_simples,ibov_ret_log
2012-08-27,-0.00537948,-0.00539400
2012-08-28,0.00507542,0.00506258
2012-08-29,-0.01775850,-0.01791807
2012-08-30,-0.00196551,-0.00196745
2012-08-31,-0.00340538,-0.00341119
2012-09-03,0.00385549,0.00384808
2012-09-04,-0.01828777,-0.01845706
2012-09-05,0.01120338,0.01114109
2012-09-06,0.02562838,0.02530548
2012-09-10,0.00142075,0.00141974
2012-09-11,0.01743799,0.01728769
2012-09-12,0.00840169,0.00836659
2012-09-13,0.03398296,0.03341829
2012-09-14,0.00237822,0.00237540
2012-09-17,-0.00482228,-0.00483395
2012-09-18,-0.00002670,-0.00002670
2012-09-19,-0.00246746,-0.00247051
2012-09-20,0.00058620,0.00058602
2012-09-21,-0.00596389,-0.00598174
2012-09-24,0.00962034,0.00957436
2012-09-25,-0.02275707,-0.02302001
2012-09-26,-0.00038098,-0.00038106
2012-09-27,-0.00393961,-0.00394739
2012-09-28,-0.01766258,-0.01782042
2012-10-01,0.00667503,0.00665285
2012-10-02,-0.00585387,-0.00587108
2012-10-03,-0.01004271,-0.01009348
2012-10-04,-0.00288824,-0.00289242
2012-10-05,0.00194310,0.00194122
2012-10-08,0.01272904,0.01264870
2012-10-09,-0.00636730,-0.00638766
2012-10-10,-0.00819790,-0.00823169
2012-10-11,0.01206782,0.01199559
2012-10-15,0.00743707,0.00740955
2012-10-16,0.00238517,0.00238233
2012-10-17,0.00574820,0.00573175
2012-10-18,-0.00588128,-0.00589864
